# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
02/01/2021 00:00:01,Class A,220343000,57.717728,10.585658,Engaged in fishing,0.0,0.0,345.7,232,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
02/01/2021 00:00:05,Class A,220343000,57.717728,10.585658,Engaged in fishing,0.0,0.0,345.7,232,Unknown,OU4649,SOFIE LYKKE,Fishing,,4,16,GPS,,HJEM TIL TOESERNE,30/01/2021 06:44:00,AIS,4,12,2,2
02/01/2021 00:00:09,Class A,219948000,57.720573,10.594807,Engaged in fishing,0.0,0.0,355.0,160,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
02/01/2021 00:00:11,Class A,220343000,57.717723,10.585655,Engaged in fishing,0.0,0.0,286.7,232,Unknown,OU4649,SOFIE LYKKE,Fishing,,4,16,GPS,,HJEM TIL TOESERNE,30/01/2021 06:44:00,AIS,4,12,2,2
02/01/2021 00:00:20,Class A,219948000,57.720577,10.594807,Engaged in fishing,0.0,0.0,348.2,160,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
02/01/2021 00:00:21,Class A,220343000,57.717720,10.585642,Engaged in fishing,0.0,0.0,9.2,232,Unknown,OU4649,SOFIE LYKKE,Fishing,,4,16,GPS,,HJEM TIL TOESERNE,30/01/2021 06:44:00,AIS,4,12,2,2
02/01/2021 00:00:29,Class A,219948000,57.720577,10.594807,Engaged in fishing,0.0,0.0,6.5,160,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
02/01/2021 00:00:31,Class A,220343000,57.717715,10.585647,Engaged in fishing,0.0,0.0,243.9,232,Unknown,OU4649,SOFIE LYKKE,Fishing,,4,16,GPS,,HJEM TIL TOESERNE,30/01/2021 06:44:00,AIS,4,12,2,2
02/01/2021 00:00:39,Class A,219948000,57.720573,10.594808,Engaged in fishing,0.0,0.0,20.2,160,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
02/01/2021 00:00:40,Class A,220343000,57.717715,10.585648,Engaged in fishing,0.0,0.0,312.8,232,Unknown,OU4649,SOFIE LYKKE,Fishing,,4,16,GPS,,HJEM TIL TOESERNE,30/01/2021 06:44:00,AIS,4,12,2,2
02/01/2021 00:00:50,Class A,219948000,57.720570,10.594807,Engaged in fishing,0.0,0.0,346.8,160,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
02/01/2021 00:00:51,Class A,220343000,57.717717,10.585650,Engaged in fishing,0.0,0.0,142.8,232,Unknown,OU4649,SOFIE LYKKE,Fishing,,4,16,GPS,,HJEM TIL TOESERNE,30/01/2021 06:44:00,AIS,4,12,2,2
